word,url,extracted_etymology,notes
բեռ,https://hy.wiktionary.org/wiki/բեռ,,
բյուրեղ,https://hy.wiktionary.org/wiki/բյուրեղ,,
բիբ,https://hy.wiktionary.org/wiki/բիբ,,
բիթ,https://hy.wiktionary.org/wiki/բիթ,,
բլոգ,https://hy.wiktionary.org/wiki/բլոգ,,
բլուր,https://hy.wiktionary.org/wiki/բլուր,,
բղուղ,https://hy.wiktionary.org/wiki/բղուղ,,
բմբուլ,https://hy.wiktionary.org/wiki/բմբուլ,,
բնագիր,https://hy.wiktionary.org/wiki/բնագիր,,
բազմանալ,https://hy.wiktionary.org/wiki/բազմանալ,,
բազրիք,https://hy.wiktionary.org/wiki/բազրիք,,
բաժանորդ,https://hy.wiktionary.org/wiki/բաժանորդ,,
բալատուր,https://hy.wiktionary.org/wiki/բալատուր,,
բաղկանալ,https://hy.wiktionary.org/wiki/բաղկանալ,,
բաղձալ,https://hy.wiktionary.org/wiki/բաղձալ,,
բաղձանք,https://hy.wiktionary.org/wiki/բաղձանք,,
բաղնիք,https://hy.wiktionary.org/wiki/բաղնիք,,
բամբիշ,https://hy.wiktionary.org/wiki/բամբիշ,,
բարեկամ,https://hy.wiktionary.org/wiki/բարեկամ,,
բարևել,https://hy.wiktionary.org/wiki/բարևել,,
բացառել,https://hy.wiktionary.org/wiki/բացառել,,
բացել,https://hy.wiktionary.org/wiki/բացել,,
բժշկել,https://hy.wiktionary.org/wiki/բժշկել,,
բյուր,https://hy.wiktionary.org/wiki/բյուր,,
բյուրեղյա,https://hy.wiktionary.org/wiki/բյուրեղյա,,
բյուրեղացնել,https://hy.wiktionary.org/wiki/բյուրեղացնել,,
բյուրեղացում,https://hy.wiktionary.org/wiki/բյուրեղացում,,
բնագիր,https://hy.wiktionary.org/wiki/բնագիր,,
բնություն,https://hy.wiktionary.org/wiki/բնություն,,
բնութագիր,https://hy.wiktionary.org/wiki/բնութագիր,,
բնութագրել,https://hy.wiktionary.org/wiki/բնութագրել,,
բնութագիրք,https://hy.wiktionary.org/wiki/բնութագիրք,,
բնութագիրություն,https://hy.wiktionary.org/wiki/բնութագիրություն,,
բնութագիրական,https://hy.wiktionary.org/wiki/բնութագիրական,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
